compound_races,compound_race_concentration,circuit,compound,degree,cv_rmse_s,fuel_slope_s_per_lap,fuel_slope_se,fuel_slope_classical_se,fuel_slope_ci_low,fuel_slope_ci_high,n_laps,n_stints,n_clusters,deg_p1,deg_p1_se,deg_p1_classical_se,deg_p1_ci_low,deg_p1_ci_high,deg_p2,deg_p2_se,deg_p2_classical_se,deg_p2_ci_low,deg_p2_ci_high
3,0.375,singapore,HARD,1,1.2377360008981266,-0.05241023843899928,0.0028183532449973657,0.001543883484740574,-0.05802987520010797,-0.046790601677890585,3299,142,72,0.05463863912277844,0.005033865605191044,0.0028884481563847776,0.044601396184681556,0.06467588206087534,,,,,
4,0.31343283582089554,singapore,MEDIUM,1,1.2377360008981266,-0.05241023843899928,0.0028183532449973657,0.001543883484740574,-0.05802987520010797,-0.046790601677890585,3299,142,72,0.02784111570854586,0.00722227912046282,0.0027897246244415223,0.013440300155569082,0.04224193126152264,,,,,
4,0.4444444444444444,singapore,SOFT,1,1.2377360008981266,-0.05241023843899928,0.0028183532449973657,0.001543883484740574,-0.05802987520010797,-0.046790601677890585,3299,142,72,0.00012502121211177553,0.010412960770132897,0.005852233165167318,-0.02063783285513139,0.020887875279354942,,,,,
4,0.55,spa,HARD,2,0.8439718972562973,-0.09119904911986598,0.0036312389168031765,0.0019452197846813028,-0.09843284798772636,-0.0839652502520056,2503,170,76,0.1532270415720154,0.025354394505583265,0.011511297601716394,0.10271849766402036,0.20373558548001042,-0.003034609674966049,0.000817736860477081,0.0004974660723177937,-0.004663625036129472,-0.0014055943138026254
4,0.297029702970297,spa,MEDIUM,2,0.8439718972562973,-0.09119904911986598,0.0036312389168031765,0.0019452197846813028,-0.09843284798772636,-0.0839652502520056,2503,170,76,0.17659267063455575,0.02719615746175452,0.008900154112239274,0.12241514677441043,0.23077019449470107,-0.0036019293692453047,0.0007164787979943379,0.0002941528274119186,-0.005029228326026762,-0.0021746304124638472
3,0.6896551724137931,spa,SOFT,2,0.8439718972562973,-0.09119904911986598,0.0036312389168031765,0.0019452197846813028,-0.09843284798772636,-0.0839652502520056,2503,170,76,0.10369108971101992,0.038014858320940384,0.015487023524989742,0.027961608565784543,0.1794205708562553,-0.00023734053051915893,0.0019926497254997956,0.0007312125755288322,-0.004206902340859278,0.0037322212798209598
3,0.39705882352941174,suzuka,HARD,2,0.6354470569316177,-0.08111768635979555,0.0027643254180700783,0.0011218824084302632,-0.08665751829319247,-0.07557785442639862,2389,136,56,0.13098924678300305,0.018421408190739494,0.0069490168966283156,0.09407191979751164,0.16790657376849447,-0.002031653807013978,0.0004585535081171323,0.00022340691231702785,-0.0029506155728150534,-0.001112692041212902
3,0.35185185185185186,suzuka,MEDIUM,2,0.6354470569316177,-0.08111768635979555,0.0027643254180700783,0.0011218824084302632,-0.08665751829319247,-0.07557785442639862,2389,136,56,0.1185786661672319,0.01772690925785712,0.008266982933306053,0.08305314614518328,0.1541041861892805,-0.0016357824828094891,0.0005823445581508033,0.00034896506042597896,-0.002802827056648429,-0.0004687379089705493
3,0.42857142857142855,suzuka,SOFT,2,0.6354470569316177,-0.08111768635979555,0.0027643254180700783,0.0011218824084302632,-0.08665751829319247,-0.07557785442639862,2389,136,56,0.07734772202467388,0.04413034747273962,0.019875861498925698,-0.011091470612807283,0.16578691466215506,0.0016906211586790731,0.003022928304910288,0.0013010347944183449,-0.004367462541033489,0.007748704858391635
4,0.34951456310679613,yas_marina,HARD,1,0.47849385226591834,-0.05294282842484366,0.0014069702494758339,0.0006490787112142725,-0.055743891021917874,-0.05014176582776944,3910,191,79,0.0566976802444461,0.002596958285006424,0.0012399636916580457,0.05152753345491483,0.06186782703397738,,,,,
4,0.3048780487804878,yas_marina,MEDIUM,1,0.47849385226591834,-0.05294282842484366,0.0014069702494758339,0.0006490787112142725,-0.055743891021917874,-0.05014176582776944,3910,191,79,0.07702716120778885,0.005304720007843945,0.0018804005749171642,0.06646627492930601,0.08758804748627169,,,,,
3,0.5,yas_marina,SOFT,1,0.47849385226591834,-0.05294282842484366,0.0014069702494758339,0.0006490787112142725,-0.055743891021917874,-0.05014176582776944,3910,191,79,0.12249887872156773,0.007672870068441577,0.006612687296981459,0.10722336783643786,0.1377743896066976,,,,,
4,0.35714285714285715,zandvoort,HARD,1,0.6536304347866211,-0.041560752770202214,0.0016044413078502228,0.0006843962534783094,-0.04475431330871459,-0.038367192231689835,4108,212,80,0.03446167465012229,0.002708271866226393,0.0014626592748782237,0.02907099434463162,0.039852354955612956,,,,,
4,0.32857142857142857,zandvoort,MEDIUM,1,0.6536304347866211,-0.041560752770202214,0.0016044413078502228,0.0006843962534783094,-0.04475431330871459,-0.038367192231689835,4108,212,80,0.04484573694239202,0.002939658255546425,0.0018951289638261964,0.038994493549634905,0.05069698033514914,,,,,
4,0.4069767441860465,zandvoort,SOFT,1,0.6536304347866211,-0.041560752770202214,0.0016044413078502228,0.0006843962534783094,-0.04475431330871459,-0.038367192231689835,4108,212,80,0.02897621329975686,0.0039846267647304584,0.0021641876731317423,0.02104501211821052,0.0369074144813032,,,,,
